央视频道备,#genre#
新马 I 新传媒 8,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
YTN 联合新闻,http://ytnmmd.mmdlive.lldns.net/ytnmmd/9484b70302db4786886ae40308bf45a1/chunklist_b2592000.m3u8
NBT 曼谷频道,http://live.prd.go.th:1935/live/ch1_L.sdp/chunklist.m3u8
CGTN-国际电视台,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
BabyFirst台湾,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
新唐人-美西频道,http://live.ntdimg.com/uwlive520/playlist.m3u8?
凤凰中文(备2),http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
凤凰中文(备3),http://125.210.152.21:9090/live/FHZW.m3u8
凤凰中文(备4),http://liveali.ifeng.com/live/FHZW.flv
凤凰资讯(备1),http://125.210.152.21:9090/live/FHZX.m3u8
凤凰资讯(备2),http://117.169.120.138:8080/live/fhzixun/.m3u8
凤凰资讯(备3),http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8
无线新闻,http://www.liveviptv.xyz/tv/tvb.php?vid=wxxw
无线新闻(备),http://185.180.221.194:8278/Inews/playlist.m3u8?tid=56699937&ct=18205&tsum=6a2b767494bda26fa75d52fee20a26c2
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
RHK31,http://rthklive1-lh.akamaihd.net/i/rthk31_1@167495/index_2052_av-p.m3u8
RHK32,https://rthklive2-lh.akamaihd.net/i/rthk32_1@168450/index_1080_av-b.m3u8
香港有线新闻,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
信吉电视,http://220.130.241.203:1935/sjtv/livestream/chunklist_w1048671923.m3u8
三立新闻,http://60.199.188.61/HLS/WG_ETTV-N/index.m3u8
民视,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
中视,http://104.250.154.42:8080/ZZ_zhongshi/ZZ_zhongshi.m3u8
华视,http://104.250.154.42:8080/ZZ_huashi/ZZ_huashi.m3u8
年代新闻,http://104.250.154.42:8080/ZZ_niandaixinwen/ZZ_niandianxinwen.m3u8
中天综合,http://104.250.154.42:8080/ZZ_zhongtianzonghe/ZZ_zhongtianzonghe.m3u8
香港hks,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xianggangweishi_2_hd.m3u8



4K体验,#genre#
纯享4K,http://112.50.243.8/PLTV/88888888/224/3221226825/1.m3u8
CCTV4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8


欧美音乐,#genre#
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
俄罗斯 I HD 时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
意大利 I V2 音乐频道,http://de1se01.v2beat.live/playlist.m3u8
法国 I 热带音乐,http://d2ktlibtvvj8vp.cloudfront.net/trace_tropical/6/prog_index.m3u8
法国 I 巴黎调频,http://d2ktlibtvvj8vp.cloudfront.net/trace_kitoko/6/prog_index.m3u8
印度 I 音乐电视台,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
俄罗斯 I FM 音乐频道,http://rtmp.one.by:1200
俄罗斯 I OR 音乐频道,http://rtmp.one.by:2200/
俄罗斯 I HP 音乐频道,http://hls-video01.cdnvideo.ru/video01/smil:video01.smil/chunklist_b4128000.m3u8
俄罗斯 I RU 音乐频道,http://rutv.gcdn.co/streams/1410_1272/720n/index.m3u8
乌克兰 I M2 音乐频道,http://live.m2.tv/hls3/stream.m3u8

Fashion,#genre#
Fashion TV 01,http://fash1043.cloudycdn.services/slive/_definst_/ftv_pg16_adaptive.smil/playlist.m3u8
Fashion TV 02,http://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_pg16_d9y_27042_ftv_pg16_194_hls.smil/chunklist.m3u8
Fashion TV 03,https://a.jsrdn.com/broadcast/ftv2_1/-0800/c.m3u8
Midnite Secrets01,http://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/chunklist.m3u8
Midnite Secrets02,http://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/media.m3u8
Midnite crets03,https://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/chunklist_b2800000_t64NzIwcA==.m3u8
Midnite crets04,https://fash1043.cloudycdn.services/slive/_definst_/ftv_midnite_secrets_adaptive.smil/playlist.m3u8
Fashion TV Paris01,http://fash1043.cloudycdn.services/slive/_definst_/ftv_paris_adaptive.smil/chunklist.m3u8?xtreamiptv.m3u8
Fashion TV Paris02,http://fash1043.cloudycdn.services/slive/_definst_/ftv_paris_adaptive.smil/chunklist_b4500000_t64MTA4MHA=.m3u8
Fashion TV Paris03,http://fash1043.cloudycdn.services/slive/_definst_/ftv_paris_adaptive.smil/chunklist_b680000_t64MzYwcA==.m3u8
Fashion TV Paris04,https://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_paris_pg_4dg_27027_paris_pg18_188_hls.smil/chunklist_b4700000_t64MTA4MHA=.m3u8
Fashion TV Paris05,https://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_paris_pg_4dg_27027_paris_pg18_188_hls.smil/playlist.m3u8
Fashion TV PG1301,http://fash1043.cloudycdn.services/slive/_definst_/ftv_pg13_adaptive.smil/media.m3u8
Fashion TV PG1302,http://fash1043.cloudycdn.services/slive/ftv_pg13_adaptive.smil/chunklist_b4700000_t64MTA4MHA=.m3u8
Fashion TV PG1303,https://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_pg13_zw9_27065_ftv_pg13_196_hls.smil/playlist.m3u8
Fashion TV PG16,http://fash1043.cloudycdn.services/slive/_definst_/ftv_pg16_adaptive.smil/media.m3u8
Fashion TV PG1601,http://fash1043.cloudycdn.services/slive/ftv_pg16_adaptive.smil/chunklist_b4700000_t64MTA4MHA=.m3u8
Fashion TV PG1602,https://dstroscal1.s.llnwi.net/ftv/ftv_pg16_adaptive_v3.smil/chunklist_b4700000.m3u8
Fashion TV PG1603,https://fash1043.cloudycdn.services/slive/_definst_/ftv_ftv_pg16_d9y_27042_ftv_pg16_194_hls.smil/playlist.m3u8
FashionTV Czech&Slovak01,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
FashionTV Czech&Slovak02,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8?fluxustv.m3u8
HDFashion & LifeStyle,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
HDFashion & LifeStyle,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8?xtreamiptv.m3u8
HDFashion & LifeStyle,http://95.67.47.115/hls/hdfashion_ua_mid/index.m3u8
ID Fashion01,http://idfashion-hls1.cosmonova.net.ua/hls/idfashion_ua_hi/index.m3u8
ID Fashion02,http://idfashion-hls1.cosmonova.net.ua/hls/idfashion_ua_low/index.m3u8
ID Fashion03,http://idfashion-hls1.cosmonova.net.ua/hls/idfashion_ua_mid/index.m3u8
Models Inc,https://bozztv.com/36bay2/gin/giniko_modelinc_2000kb_36bay2/tracks-v1a1/mono.m3u8

4K会员专享_666888,#genre#
韩国,https://hls3-l3.xvideos-cdn.com/702e763313ef07f8ed59c61077a19ba12c6accd9-1586527475/videos/hls/2b/8e/93/2b8e93c1bec1e5a651a6a5cb9f69f9bf-1/hls-720p.m3u8
自己玩振动器,https://19-18.b.cdn13.com/hls/014/077/224/2160p.h264.mp4/index.m3u8?cdn_creation_time=1586008800&cdn_ttl=14400&cdn_cv_data=210.0.159.70&cdn_hash=57aec9b7a8cff341a042354fefce071e
俩女玩振动棒,https://1-308-19-12.b.cdn13.com/hls/014/037/501/2160p.h264.mp4/seg-7-v1-a1.ts?cdn_creation_time=1586008800&cdn_ttl=14400&cdn_cv_data=210.0.159.70&cdn_hash=0775cb06423eff35c4aee65a201871fe
群女海滩,https://1-391-19-18.b.cdn13.com/hls/014/062/616/2160p.h264.mp4/seg-7-v1-a1.ts?cdn_creation_time=1586008800&cdn_ttl=14400&cdn_cv_data=210.0.159.70&cdn_hash=4029c78b3074e2c413a2c6c6ce3364b5
美丽性感,https://1-308-19-12.b.cdn13.com/hls/013/958/548/2160p.h264.mp4/seg-10-v1-a1.ts?cdn_creation_time=1586012400&cdn_ttl=14400&cdn_cv_data=210.0.159.70&cdn_hash=6a96479ee4d05643b0dfa69ef35466cc

凯西尔,https://video3.xhcdn.com/key=g3zBFQSW+KHwUth3btExvA,end=1586026800,limit=3/data=210.0.159.70/speed=0/initial_buffer=2360480/media=hlsA/013/746/470/720p.h264.mp4
轻的业余夫妇,https://hls-hw.xvideos-cdn.com/videos/hls/66/a6/6a/66a66a535718cb4d73eba66db42382e5/hls-720p.m3u8?e=1586020939&l=0&h=cc60c0794e3cba8062153acdcb9474e0

亚洲青少年,https://hls4-l3.xvideos-cdn.com/7569a1199043d87392d87d7432e62247fa1a1173-1586021328/videos/hls/6f/a5/53/6fa553925ea0c129961a6bf0a0d2f6f6-1/hls-720p.m3u8

尤物搞屁股,https://hls1-l3.xvideos-cdn.com/a9b1362f94e3f4d35c416e303cff53808fcc6306-1586021524/videos/hls/0a/15/b7/0a15b7d4e0e7bbbab9844410a8b41f1c-1/hls-720p.m3u8

淫家庭,https://hls1-l3.xvideos-cdn.com/9cd9fe09693329e2462d752bf7ec0f69d77108cd-1586021702/videos/hls/d0/77/8f/d0778f8323e2bf8274a3eb11cda86d18/hls-720p.m3u8

我的妹妹,https://hls-hw.xvideos-cdn.com/videos/hls/e6/7d/29/e67d29b1cc435ecbfdd0ab88b62de804-1/hls-720p.m3u8?e=1586021796&l=0&h=60c353f0299145bf876e53ec47181a44

女同吃手指,https://hls3-l3.xnxx-cdn.com/9a3dad02e49e3b2f46b3411b51f00e88403307e3-1586022334/videos/hls/d3/9d/f0/d39df0b7656500738e6818cfece02ec6/hls-1080p-a4e55.m3u8

女同吃阴道,https://hls3-l3.xnxx-cdn.com/ce1aa3d3e88ccb04a7113820a0b23297d0989f40-1586022518/videos/hls/34/eb/b6/34ebb6e0c0b1ed5ddc1e13e27109fb92/hls-720p.m3u8

韩国三级,https://hls-hw.xnxx-cdn.com/videos/hls/06/cb/20/06cb20fa3f51a5d886a987d3f5a4e506-1/hls-720p.m3u8?e=1586022601&l=0&h=eeaa119ac766e15a3d593bc17462ec07

女教师,https://hls4-l3.xnxx-cdn.com/c11b841312be274cd6e65a13cd4303ea74ba7d42-1586022790/videos/hls/3c/40/ee/3c40ee1a75afda0dd67bd3bcfb4b442e/hls-720p.m3u8

