央视频道备,#genre#
CCTV-6电影,http://ivi.bupt.edu.cn/hls/cctv6.m3u8#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://101.71.255.229:6610/zjhs/2/10066/index.m3u8?virtualDomain=zjhs.live_hls.zte.com


CCTV-7军事农业,http://ivi.bupt.edu.cn/hls/cctv7.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8 


CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#http://101.71.255.229:6610/zjhs/2/10062/index.m3u8?virtualDomain=zjhs.live_hls.zte.com


CCTV-9纪录,http://ivi.bupt.edu.cn/hls/cctv9.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8 


CCTV-10科教,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv10.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8


CCTV-11戏曲,http://ivi.bupt.edu.cn/hls/cctv11.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8 


CCTV-12社会与法,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv12.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8 


CCTV-13新闻,http://ivi.bupt.edu.cn/hls/cctv13.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8


CCTV-14少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8 


CCTV-15音乐,http://ivi.bupt.edu.cn/hls/cctv15.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226317/1.m3u8 

CCTV-16奥运频道,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8


CCTV-17农村农业,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8

CCTV-高清,http://hls-ott-zhibo.wasu.tv/live/369/index.m3u8

CCTV-5+体育,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8


NewTV农业致富,http://121.31.30.90:8085/ysten-business/live/nongyezf/1.m3u8





国家地理,http://104.250.154.42:8080/ZZ_hbo/ZZ_hbo.m3u8



地方卫视,#genre#
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
江苏卫视高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
浙江卫视高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
湖南卫视高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
北京卫视高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
东方卫视,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
山东卫视,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
天津卫视高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000295103.m3u8
四川卫视,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8
安徽卫视高清,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8
福建东南卫视,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
